seed	arm	recall10_p50	recall10_z33	hits_p50	hits_z33	phi_e001	phi_hrm_before	phi_hrm_after	live_after	total_after	injected	forgotten	wall_s
1	W	0.2400	0.2424	12	8	0.0303	0.13509	0.1462844	2306	2306	1175	1218	7243.9
1	V	0.7400	0.5758	37	19	0.0309	-	-	2306	3524	1175	1218	20.3
5	W	0.2400	0.2424	12	8	0.0294	0.13509	0.14264488	2306	2306	1175	1218	7208.2
5	V	0.7400	0.5758	37	19	0.0303	-	-	2306	3524	1175	1218	20.9
8	W	0.2400	0.2424	12	8	0.0295	0.13509	0.14520723	2306	2306	1175	1218	7326.6
8	V	0.7400	0.5758	37	19	0.0305	-	-	2306	3524	1175	1218	23.1
1	W0	0.2800	0.2121	14	7	0.0379	0.1292858	0.10350033	675	675	1175	1115	936.6
1	V0	0.7600	0.6061	38	20	0.0398	-	-	675	1790	1175	1115	5.3
2	W0	0.2800	0.2121	14	7	0.0416	0.1292858	0.10554627	675	675	1175	1115	929.8
2	V0	0.7600	0.6364	38	21	0.0400	-	-	675	1790	1175	1115	5.2
3	W0	0.2800	0.2121	14	7	0.0418	0.1292858	0.10789621	675	675	1175	1115	939.2
3	V0	0.7800	0.6364	39	21	0.0374	-	-	675	1790	1175	1115	5.3
2	W	0.2400	0.2424	12	8	0.0317	0.13509	0.14307061	2306	2306	1175	1218	8396.8
2	V	0.7200	0.5758	36	19	0.0317	-	-	2306	3524	1175	1218	25.1
3	W	0.2400	0.2424	12	8	0.0304	0.13509	0.14454228	2306	2306	1175	1218	8580.5
3	V	0.7400	0.5758	37	19	0.0304	-	-	2306	3524	1175	1218	22.8
4	W	0.2400	0.2424	12	8	0.0308	0.13509	0.14443792	2306	2306	1175	1218	8659.4
4	V	0.7400	0.5758	37	19	0.0310	-	-	2306	3524	1175	1218	24.1
6	W	0.2400	0.2424	12	8	0.0300	0.13509	0.14172834	2306	2306	1175	1218	8504.8
6	V	0.7400	0.5758	37	19	0.0310	-	-	2306	3524	1175	1218	24.0
7	W	0.2400	0.2424	12	8	0.0309	0.13509	0.14320824	2306	2306	1175	1218	8619.1
7	V	0.7400	0.5758	37	19	0.0311	-	-	2306	3524	1175	1218	25.5
9	W	0.2400	0.2424	12	8	0.0308	0.13509	0.14147449	2306	2306	1175	1218	8548.9
9	V	0.7400	0.5758	37	19	0.0310	-	-	2306	3524	1175	1218	22.0
10	W	0.2400	0.2424	12	8	0.0304	0.13509	0.14521462	2306	2306	1175	1218	8526.1
10	V	0.7400	0.5758	37	19	0.0319	-	-	2306	3524	1175	1218	26.6
