id	set	hit	claims	grounded	unsupported	unanchored	exempt	anchored	invented	hedged	judge	judged	secs
p01	p50	1	4	4	0	0	0	1.000	0	0	8/8+3/3:stands	1.000	291
p02	p50	1	13	8	1	4	0	0.889	1	0	7/8+3/3:void	-	160
p03	p50	1	2	1	0	1	0	1.000	0	0	8/8+3/3:stands	0.500	250
p04	p50	1	4	3	0	1	0	1.000	0	0	8/8+3/3:stands	0.750	260
p05	p50	0	10	6	0	4	0	1.000	0	0	8/8+3/3:stands	0.400	336
p06	p50	1	3	2	0	1	0	1.000	0	0	8/8+3/3:stands	0.667	173
p07	p50	1	8	8	0	0	0	1.000	0	0	7/8+3/3:void	-	324
p08	p50	1	3	1	0	2	0	1.000	0	0	8/8+3/3:stands	0.000	252
p09	p50	1	4	4	0	0	0	1.000	0	0	7/8+3/3:void	-	265
p10	p50	0	8	1	3	4	0	0.250	1	0	8/8+3/3:stands	0.375	372
p11	p50	1	6	4	0	2	0	1.000	0	0	-	-	72
p12	p50	1	7	0	0	7	0	-	0	0	-	-	85
p13	p50	1	3	2	0	1	0	1.000	0	0	-	-	97
p14	p50	1	5	4	0	1	0	1.000	0	0	-	-	115
p15	p50	1	6	4	0	2	0	1.000	0	0	-	-	99
p16	p50	0	4	2	0	2	0	1.000	0	0	-	-	116
p17	p50	0	3	0	3	0	0	0.000	1	0	-	-	65
p18	p50	1	10	1	0	9	0	1.000	0	0	-	-	100
p19	p50	1	4	3	1	0	0	0.750	1	0	-	-	97
p20	p50	1	3	2	0	1	0	1.000	0	0	-	-	96
p21	p50	0	3	3	0	0	0	1.000	0	0	-	-	134
p22	p50	0	9	9	0	0	0	1.000	0	0	-	-	74
p23	p50	1	4	2	0	2	0	1.000	0	0	-	-	115
p24	p50	1	4	3	0	1	0	1.000	0	0	-	-	103
p25	p50	1	4	2	0	2	0	1.000	0	0	-	-	84
p26	p50	1	5	2	1	2	0	0.667	1	0	-	-	62
p27	p50	1	7	2	0	5	0	1.000	0	0	-	-	96
p28	p50	1	3	3	0	0	0	1.000	0	0	-	-	104
p29	p50	0	2	1	1	0	0	0.500	1	0	-	-	110
p30	p50	1	13	10	1	2	0	0.909	1	0	-	-	167
p31	p50	1	3	2	0	1	0	1.000	0	0	-	-	80
p32	p50	0	3	1	1	1	0	0.500	1	0	-	-	102
p33	p50	0	3	1	1	0	1	0.500	1	1	-	-	108
p34	p50	0	4	1	2	1	0	0.333	1	0	-	-	94
p35	p50	1	6	4	0	2	0	1.000	0	0	-	-	87
p36	p50	1	4	1	2	1	0	0.333	1	0	-	-	117
p37	p50	1	3	3	0	0	0	1.000	0	0	-	-	32
p38	p50	0	5	2	0	3	0	1.000	0	0	-	-	24
p39	p50	1	8	7	0	1	0	1.000	0	0	-	-	128
p40	p50	1	2	2	0	0	0	1.000	0	0	-	-	94
p41	p50	1	10	4	4	2	0	0.500	1	0	-	-	153
p42	p50	1	4	4	0	0	0	1.000	0	0	-	-	105
p43	p50	1	3	3	0	0	0	1.000	0	0	-	-	97
p44	p50	1	5	3	1	1	0	0.750	1	0	-	-	82
p45	p50	0	3	1	0	1	1	1.000	0	1	-	-	67
p46	p50	0	5	3	0	2	0	1.000	0	0	-	-	110
p47	p50	1	8	5	0	3	0	1.000	0	0	-	-	139
p48	p50	1	3	3	0	0	0	1.000	0	0	-	-	67
p49	p50	0	10	0	3	7	0	0.000	1	0	-	-	91
p50	p50	1	5	1	2	2	0	0.333	1	0	-	-	99
z01	z33	0	7	3	1	3	0	0.750	1	0	8/8+3/3:stands	0.143	231
z02	z33	0	7	3	0	4	0	1.000	0	0	6/8+3/3:void	-	206
z03	z33	1	4	2	0	2	0	1.000	0	0	8/8+3/3:stands	0.750	156
z04	z33	1	4	3	0	1	0	1.000	0	0	8/8+3/3:stands	0.500	223
z05	z33	1	5	5	0	0	0	1.000	0	0	6/8+3/3:void	-	245
z06	z33	1	6	4	0	2	0	1.000	0	0	8/8+3/3:stands	0.500	269
z07	z33	1	3	2	1	0	0	0.667	1	0	8/8+3/3:stands	0.333	110
z08	z33	0	4	3	0	1	0	1.000	0	0	8/8+3/3:stands	1.000	240
z09	z33	1	3	3	0	0	0	1.000	0	0	8/8+3/3:stands	1.000	336
z10	z33	1	5	2	0	3	0	1.000	0	0	8/8+3/3:stands	0.800	159
z11	z33	1	3	2	0	0	1	1.000	0	1	-	-	44
z12	z33	1	4	4	0	0	0	1.000	0	0	-	-	120
