id	set	hit	error	claims	grounded	unsupported	unanchored	exempt	anchored	invented	hedged	judge	judged	secs
p01	p50	1	0	3	2	0	1	0	1.000	0	0	8/8+3/3:stands	1.000	127
p02	p50	1	0	6	3	0	3	0	1.000	0	0	7/8+3/3:void	-	655
p03	p50	1	1	0	0	0	0	0	-	0	0	-	-	913
p04	p50	1	0	4	4	0	0	0	1.000	0	0	8/8+3/3:stands	1.000	1029
p05	p50	0	0	8	1	1	5	1	0.500	1	1	8/8+3/3:stands	0.286	952
p06	p50	1	0	5	4	0	0	1	1.000	0	1	8/8+3/3:stands	0.750	755
p07	p50	1	1	0	0	0	0	0	-	0	0	-	-	915
p08	p50	1	0	7	2	2	3	0	0.500	1	0	8/8+3/3:stands	0.857	1069
p09	p50	1	0	4	3	1	0	0	0.750	1	0	7/8+3/3:void	-	605
p10	p50	0	0	5	1	1	3	0	0.500	1	0	8/8+3/3:stands	0.200	626
p11	p50	1	0	5	2	1	2	0	0.667	1	0	8/8+3/3:stands	0.400	698
p12	p50	1	0	4	0	0	4	0	-	0	0	8/8+3/3:stands	0.500	575
p13	p50	1	0	4	3	0	1	0	1.000	0	0	-	-	455
p14	p50	1	0	3	1	1	1	0	0.500	1	0	-	-	531
p15	p50	1	0	4	2	0	2	0	1.000	0	0	-	-	433
p16	p50	0	0	5	3	0	2	0	1.000	0	0	-	-	619
p17	p50	0	0	6	0	0	5	1	-	0	1	-	-	574
p18	p50	1	0	10	1	2	7	0	0.333	1	0	-	-	838
p19	p50	1	1	0	0	0	0	0	-	0	0	-	-	229
p20	p50	1	0	4	3	0	1	0	1.000	0	0	-	-	413
p21	p50	0	0	5	5	0	0	0	1.000	0	0	-	-	691
p22	p50	0	0	7	3	1	2	1	0.750	1	1	-	-	810
p23	p50	1	0	4	2	0	2	0	1.000	0	0	-	-	637
p24	p50	1	0	3	2	1	0	0	0.667	1	0	-	-	452
p25	p50	1	0	4	1	1	2	0	0.500	1	0	-	-	809
p26	p50	1	0	4	0	1	3	0	0.000	1	0	-	-	525
p27	p50	1	0	3	3	0	0	0	1.000	0	0	-	-	376
p28	p50	1	0	4	4	0	0	0	1.000	0	0	-	-	722
p29	p50	0	0	5	3	1	1	0	0.750	1	0	-	-	657
p30	p50	1	1	0	0	0	0	0	-	0	0	-	-	921
p31	p50	1	0	7	1	0	6	0	1.000	0	0	-	-	811
p32	p50	0	1	0	0	0	0	0	-	0	0	-	-	925
p33	p50	0	0	3	1	0	0	2	1.000	0	1	-	-	551
p34	p50	0	0	3	1	1	1	0	0.500	1	0	-	-	329
p35	p50	1	0	4	3	0	1	0	1.000	0	0	-	-	36
p36	p50	1	1	0	0	0	0	0	-	0	0	-	-	901
p37	p50	1	0	3	3	0	0	0	1.000	0	0	-	-	304
p38	p50	0	0	10	4	2	4	0	0.667	1	0	-	-	150
p39	p50	1	0	4	3	0	1	0	1.000	0	0	-	-	444
p40	p50	1	0	4	1	0	3	0	1.000	0	0	-	-	389
p41	p50	1	0	4	1	2	1	0	0.333	1	0	-	-	383
p42	p50	1	0	4	4	0	0	0	1.000	0	0	-	-	353
p43	p50	1	0	2	2	0	0	0	1.000	0	0	-	-	311
p44	p50	1	0	7	5	0	2	0	1.000	0	0	-	-	624
p45	p50	0	0	3	0	0	2	1	-	0	1	-	-	247
p46	p50	0	0	3	1	0	2	0	1.000	0	0	-	-	300
p47	p50	1	0	9	6	0	3	0	1.000	0	0	-	-	579
p48	p50	1	0	5	3	0	2	0	1.000	0	0	-	-	752
p49	p50	0	1	0	0	0	0	0	-	0	0	-	-	906
p50	p50	1	0	11	5	0	6	0	1.000	0	0	-	-	772
z01	z33	0	0	4	1	0	3	0	1.000	0	0	8/8+3/3:stands	0.250	473
z02	z33	0	0	4	2	0	2	0	1.000	0	0	6/8+3/3:void	-	685
z03	z33	1	0	4	2	0	2	0	1.000	0	0	8/8+3/3:stands	0.750	528
z04	z33	1	0	8	5	0	3	0	1.000	0	0	8/8+3/3:stands	1.000	641
z05	z33	1	0	5	1	0	4	0	1.000	0	0	6/8+3/3:void	-	398
z06	z33	1	0	5	3	0	2	0	1.000	0	0	8/8+3/3:stands	0.800	539
