id	set	hit	error	claims	grounded	unsupported	unanchored	exempt	anchored	invented	hedged	judge	judged	secs
p01	p50	1	0	3	3	0	0	0	1.000	0	0	8/8+3/3:stands	1.000	17
p02	p50	1	0	10	8	1	1	0	0.889	1	0	8/8+3/3:stands	0.900	29
p03	p50	1	0	4	3	1	0	0	0.750	1	0	8/8+3/3:stands	0.750	12
p04	p50	1	0	5	2	0	3	0	1.000	0	0	8/8+3/3:stands	1.000	17
p05	p50	0	0	4	3	0	1	0	1.000	0	0	8/8+3/3:stands	0.250	9
p06	p50	1	0	3	3	0	0	0	1.000	0	0	8/8+3/3:stands	0.667	8
p07	p50	1	0	10	9	0	1	0	1.000	0	0	7/8+3/3:void	-	19
p08	p50	1	0	4	4	0	0	0	1.000	0	0	8/8+3/3:stands	0.750	9
p09	p50	1	0	4	4	0	0	0	1.000	0	0	7/8+3/3:void	-	9
p10	p50	0	0	3	1	0	1	1	1.000	0	1	8/8+3/3:stands	0.500	7
p11	p50	1	0	5	2	0	3	0	1.000	0	0	-	-	6
p12	p50	1	0	4	2	0	2	0	1.000	0	0	-	-	5
p13	p50	1	0	4	4	0	0	0	1.000	0	0	-	-	9
p14	p50	1	0	5	4	0	1	0	1.000	0	0	-	-	7
p15	p50	1	0	5	3	0	2	0	1.000	0	0	-	-	9
p16	p50	0	0	3	2	0	1	0	1.000	0	0	-	-	9
p17	p50	0	0	4	2	1	1	0	0.667	1	0	-	-	8
p18	p50	1	0	4	1	0	3	0	1.000	0	0	-	-	7
p19	p50	1	0	3	2	1	0	0	0.667	1	0	-	-	7
p20	p50	1	0	3	2	0	1	0	1.000	0	0	-	-	5
p21	p50	0	0	9	9	0	0	0	1.000	0	0	-	-	21
p22	p50	0	0	7	2	5	0	0	0.286	1	0	-	-	22
p23	p50	1	0	10	5	2	3	0	0.714	1	0	-	-	18
p24	p50	1	0	6	3	0	3	0	1.000	0	0	-	-	10
p25	p50	1	0	9	5	0	4	0	1.000	0	0	-	-	9
p26	p50	1	0	10	5	0	5	0	1.000	0	0	-	-	21
p27	p50	1	0	3	0	1	2	0	0.000	1	0	-	-	5
p28	p50	1	0	3	3	0	0	0	1.000	0	0	-	-	6
p29	p50	0	0	2	2	0	0	0	1.000	0	0	-	-	5
p30	p50	1	0	15	7	3	5	0	0.700	1	0	-	-	29
p31	p50	1	0	5	2	1	2	0	0.667	1	0	-	-	8
p32	p50	0	0	4	1	1	2	0	0.500	1	0	-	-	8
p33	p50	0	0	3	1	0	1	1	1.000	0	1	-	-	6
p34	p50	0	0	5	4	0	1	0	1.000	0	0	-	-	11
p35	p50	1	0	6	5	0	1	0	1.000	0	0	-	-	6
p36	p50	1	0	9	7	1	1	0	0.875	1	0	-	-	20
p37	p50	1	0	3	3	0	0	0	1.000	0	0	-	-	6
p38	p50	0	0	3	0	2	1	0	0.000	1	0	-	-	7
p39	p50	1	0	3	2	0	1	0	1.000	0	0	-	-	6
p40	p50	1	0	3	2	0	1	0	1.000	0	0	-	-	8
p41	p50	1	0	5	0	1	4	0	0.000	1	0	-	-	11
p42	p50	1	0	6	5	1	0	0	0.833	1	0	-	-	6
p43	p50	1	0	3	3	0	0	0	1.000	0	0	-	-	9
p44	p50	1	0	8	6	0	2	0	1.000	0	0	-	-	18
p45	p50	0	0	4	1	0	2	1	1.000	0	1	-	-	10
p46	p50	0	0	3	3	0	0	0	1.000	0	0	-	-	9
p47	p50	1	0	5	4	0	1	0	1.000	0	0	-	-	13
p48	p50	1	0	4	2	1	1	0	0.667	1	0	-	-	10
p49	p50	0	0	15	4	4	7	0	0.500	1	0	-	-	22
p50	p50	1	0	7	2	0	5	0	1.000	0	0	-	-	9
z01	z33	0	0	4	2	1	0	1	0.667	1	1	8/8+3/3:stands	0.333	14
z02	z33	0	0	6	3	0	3	0	1.000	0	0	7/8+3/3:void	-	16
z03	z33	1	0	5	3	0	2	0	1.000	0	0	8/8+3/3:stands	0.400	12
z04	z33	1	0	5	2	0	3	0	1.000	0	0	8/8+3/3:stands	0.800	11
z05	z33	1	0	14	1	1	12	0	0.500	1	0	6/8+3/3:void	-	18
z06	z33	1	0	7	5	1	1	0	0.833	1	0	8/8+3/3:stands	0.714	14
z07	z33	1	0	3	3	0	0	0	1.000	0	0	8/8+3/3:stands	0.333	15
z08	z33	0	0	4	3	0	1	0	1.000	0	0	8/8+3/3:stands	0.500	13
z09	z33	1	0	7	6	0	1	0	1.000	0	0	8/8+3/3:stands	0.714	15
z10	z33	1	0	4	2	0	2	0	1.000	0	0	8/8+3/3:stands	1.000	10
z11	z33	1	0	4	3	0	1	0	1.000	0	0	-	-	8
z12	z33	1	0	4	2	0	2	0	1.000	0	0	-	-	9
z13	z33	1	0	5	4	0	1	0	1.000	0	0	-	-	9
z14	z33	1	0	4	2	1	1	0	0.667	1	0	-	-	11
z15	z33	1	0	5	1	1	3	0	0.500	1	0	-	-	7
z16	z33	0	0	3	3	0	0	0	1.000	0	0	-	-	8
z17	z33	1	0	5	1	0	4	0	1.000	0	0	-	-	10
z18	z33	0	0	10	6	1	3	0	0.857	1	0	-	-	15
z19	z33	1	0	7	4	0	3	0	1.000	0	0	-	-	6
z20	z33	1	0	8	7	0	1	0	1.000	0	0	-	-	8
z21	z33	0	0	10	8	2	0	0	0.800	1	0	-	-	21
z22	z33	1	0	3	2	0	1	0	1.000	0	0	-	-	5
z23	z33	0	0	5	5	0	0	0	1.000	0	0	-	-	9
z24	z33	0	0	5	0	2	3	0	0.000	1	0	-	-	6
z25	z33	0	0	3	1	0	1	1	1.000	0	1	-	-	5
z26	z33	0	0	2	2	0	0	0	1.000	0	0	-	-	11
z27	z33	0	0	3	2	1	0	0	0.667	1	0	-	-	5
z28	z33	0	0	2	0	1	1	0	0.000	1	0	-	-	5
z29	z33	1	0	7	3	4	0	0	0.429	1	0	-	-	15
z30	z33	1	0	5	4	0	1	0	1.000	0	0	-	-	6
z31	z33	0	0	4	1	0	2	1	1.000	0	1	-	-	5
z32	z33	1	0	3	1	1	1	0	0.500	1	0	-	-	12
z33	z33	0	0	16	2	2	11	1	0.500	1	1	-	-	22
