id	set	hit	error	claims	grounded	unsupported	unanchored	exempt	anchored	invented	hedged	judge	judged	secs
p01	p50	1	0	3	2	0	1	0	1.000	0	0	8/8+3/3:stands	1.000	18
p02	p50	1	0	7	4	0	3	0	1.000	0	0	8/8+3/3:stands	0.714	25
p03	p50	1	0	4	3	1	0	0	0.750	1	0	8/8+3/3:stands	1.000	12
p04	p50	1	0	4	3	0	1	0	1.000	0	0	8/8+3/3:stands	1.000	18
p05	p50	0	0	9	2	0	6	1	1.000	0	1	8/8+3/3:stands	0.250	19
p06	p50	1	0	5	3	0	1	1	1.000	0	1	8/8+3/3:stands	0.250	18
p07	p50	1	0	19	6	3	10	0	0.667	1	0	7/8+3/3:void	-	24
p08	p50	1	0	7	2	2	3	0	0.500	1	0	8/8+3/3:stands	0.714	18
p09	p50	1	0	3	3	0	0	0	1.000	0	0	7/8+3/3:void	-	10
p10	p50	0	0	4	0	0	4	0	-	0	0	8/8+3/3:stands	0.250	12
p11	p50	1	0	3	0	2	1	0	0.000	1	0	-	-	8
p12	p50	1	0	5	1	0	4	0	1.000	0	0	-	-	9
p13	p50	1	0	5	4	0	1	0	1.000	0	0	-	-	11
p14	p50	1	0	4	2	1	1	0	0.667	1	0	-	-	13
p15	p50	1	0	4	1	0	3	0	1.000	0	0	-	-	11
p16	p50	0	0	5	2	1	2	0	0.667	1	0	-	-	15
p17	p50	0	0	5	1	0	2	2	1.000	0	1	-	-	10
p18	p50	1	0	9	1	1	7	0	0.500	1	0	-	-	16
p19	p50	1	0	4	3	1	0	0	0.750	1	0	-	-	7
p20	p50	1	0	4	2	0	2	0	1.000	0	0	-	-	7
p21	p50	0	0	6	3	0	3	0	1.000	0	0	-	-	15
p22	p50	0	0	4	2	0	2	0	1.000	0	0	-	-	10
p23	p50	1	0	4	0	1	3	0	0.000	1	0	-	-	10
p24	p50	1	0	3	2	0	1	0	1.000	0	0	-	-	9
p25	p50	1	0	5	3	0	2	0	1.000	0	0	-	-	12
p26	p50	1	0	4	2	1	1	0	0.667	1	0	-	-	9
p27	p50	1	0	4	2	1	1	0	0.667	1	0	-	-	9
p28	p50	1	0	3	3	0	0	0	1.000	0	0	-	-	4
p29	p50	0	0	3	3	0	0	0	1.000	0	0	-	-	9
p30	p50	1	0	13	8	2	3	0	0.800	1	0	-	-	27
p31	p50	1	0	5	2	0	3	0	1.000	0	0	-	-	10
p32	p50	0	0	17	1	7	8	1	0.125	1	1	-	-	24
p33	p50	0	0	3	1	0	0	2	1.000	0	1	-	-	5
p34	p50	0	0	3	3	0	0	0	1.000	0	0	-	-	8
p35	p50	1	0	4	3	0	1	0	1.000	0	0	-	-	6
p36	p50	1	0	8	6	2	0	0	0.750	1	0	-	-	18
p37	p50	1	0	4	4	0	0	0	1.000	0	0	-	-	6
p38	p50	0	0	20	4	9	7	0	0.308	1	0	-	-	27
p39	p50	1	0	4	4	0	0	0	1.000	0	0	-	-	10
p40	p50	1	0	7	2	1	4	0	0.667	1	0	-	-	14
p41	p50	1	0	6	0	3	3	0	0.000	1	0	-	-	11
p42	p50	1	0	3	3	0	0	0	1.000	0	0	-	-	7
p43	p50	1	0	2	2	0	0	0	1.000	0	0	-	-	6
p44	p50	1	0	8	5	0	3	0	1.000	0	0	-	-	16
p45	p50	0	0	4	1	0	3	0	1.000	0	0	-	-	6
p46	p50	0	0	3	1	0	2	0	1.000	0	0	-	-	5
p47	p50	1	0	9	5	0	4	0	1.000	0	0	-	-	16
p48	p50	1	0	6	4	0	2	0	1.000	0	0	-	-	10
p49	p50	0	0	17	2	9	6	0	0.182	1	0	-	-	25
p50	p50	1	0	6	3	0	3	0	1.000	0	0	-	-	14
z01	z33	0	0	7	4	0	3	0	1.000	0	0	8/8+3/3:stands	0.429	21
z02	z33	0	0	4	2	0	2	0	1.000	0	0	8/8+3/3:stands	0.500	15
z03	z33	1	0	6	4	0	2	0	1.000	0	0	8/8+3/3:stands	0.333	18
z04	z33	1	0	8	5	0	3	0	1.000	0	0	8/8+3/3:stands	1.000	17
z05	z33	1	0	5	1	0	4	0	1.000	0	0	6/8+3/3:void	-	13
z06	z33	1	0	6	4	0	2	0	1.000	0	0	8/8+3/3:stands	0.833	15
z07	z33	1	0	2	2	0	0	0	1.000	0	0	8/8+3/3:stands	1.000	12
z08	z33	0	0	4	1	0	3	0	1.000	0	0	8/8+3/3:stands	0.250	16
z09	z33	1	0	2	2	0	0	0	1.000	0	0	8/8+3/3:stands	0.500	15
z10	z33	1	0	5	2	0	3	0	1.000	0	0	8/8+3/3:stands	1.000	22
z11	z33	1	0	8	4	2	2	0	0.667	1	0	-	-	16
z12	z33	1	0	5	3	0	2	0	1.000	0	0	-	-	13
z13	z33	1	0	9	5	4	0	0	0.556	1	0	-	-	16
z14	z33	1	0	5	3	1	1	0	0.750	1	0	-	-	8
z15	z33	1	0	5	1	3	1	0	0.250	1	0	-	-	12
z16	z33	0	0	4	2	0	2	0	1.000	0	0	-	-	10
z17	z33	1	0	6	3	0	3	0	1.000	0	0	-	-	15
z18	z33	0	0	8	2	0	5	1	1.000	0	1	-	-	15
z19	z33	1	0	10	3	0	7	0	1.000	0	0	-	-	12
z20	z33	1	0	5	3	0	2	0	1.000	0	0	-	-	2
z21	z33	0	0	7	4	1	2	0	0.800	1	0	-	-	3
z22	z33	1	0	4	0	0	4	0	-	0	0	-	-	2
z23	z33	0	0	4	3	0	1	0	1.000	0	0	-	-	3
z24	z33	0	0	22	6	10	6	0	0.375	1	0	-	-	6
z25	z33	0	0	3	1	0	1	1	1.000	0	1	-	-	2
z26	z33	0	0	3	0	0	3	0	-	0	0	-	-	2
z27	z33	0	0	3	1	0	2	0	1.000	0	0	-	-	2
z28	z33	0	0	6	2	0	2	2	1.000	0	1	-	-	3
z29	z33	1	0	10	5	1	4	0	0.833	1	0	-	-	4
z30	z33	1	0	3	2	1	0	0	0.667	1	0	-	-	2
z31	z33	0	0	3	1	0	1	1	1.000	0	1	-	-	1
z32	z33	1	0	3	3	0	0	0	1.000	0	0	-	-	3
z33	z33	0	0	18	3	8	7	0	0.273	1	0	-	-	7
