run	arm	model	prompt	turn	share_ab_all	share_ba_all	share_ab_last3	share_ba_last3	secs
pilot	L	kannaka-brain-7b-v1	0	0	0.0000	0.0000	0.0000	0.0000	8.0
pilot	L	kannaka-brain-7b-v1	0	1	0.0000	0.0000	0.0000	0.0000	1.2
pilot	L	kannaka-brain-7b-v1	0	2	0.0137	0.0164	0.0137	0.0164	1.0
pilot	L	kannaka-brain-7b-v1	0	3	0.0137	0.0149	0.0435	0.0909	0.9
pilot	L	kannaka-brain-7b-v1	0	4	0.2192	0.1839	0.7778	0.2593	1.3
pilot	L	kannaka-brain-7b-v1	0	5	0.2192	0.1553	1.0000	0.0227	1.2
pilot	L	kannaka-brain-7b-v1	0	6	0.2192	0.1553	nan	nan	0.8
pilot	L	kannaka-brain-7b-v1	0	7	0.2133	0.1538	0.0000	0.0000	0.8
pilot	L	kannaka-brain-7b-v1	0	8	0.2165	0.2000	0.0606	0.5000	1.6
pilot	L	kannaka-brain-7b-v1	0	9	0.2039	0.1892	0.0000	0.0000	1.1
pilot	L	kannaka-brain-7b-v1	1	0	0.0000	0.0000	0.0000	0.0000	3.0
pilot	L	kannaka-brain-7b-v1	1	1	0.0000	0.0000	0.0000	0.0000	3.0
pilot	L	kannaka-brain-7b-v1	1	2	0.0084	0.0060	0.0084	0.0060	3.9
pilot	L	kannaka-brain-7b-v1	1	3	0.0241	0.0182	0.0288	0.0247	3.5
pilot	L	kannaka-brain-7b-v1	1	4	0.0340	0.0285	0.0473	0.0442	4.4
pilot	L	kannaka-brain-7b-v1	1	5	0.0292	0.0260	0.0316	0.0350	2.6
pilot	L	kannaka-brain-7b-v1	1	6	0.0277	0.0276	0.0000	0.0000	2.8
pilot	L	kannaka-brain-7b-v1	1	7	0.0538	0.0578	0.0141	0.0308	2.5
pilot	L	kannaka-brain-7b-v1	1	8	0.0541	0.0550	0.0084	0.0135	2.2
pilot	L	kannaka-brain-7b-v1	1	9	0.0612	0.0633	0.0000	0.0000	3.0
pilot	L	kannaka-brain-7b-v1	2	0	0.0164	0.0172	0.0164	0.0172	3.9
pilot	L	kannaka-brain-7b-v1	2	1	0.0738	0.0763	0.0738	0.0763	4.1
pilot	L	kannaka-brain-7b-v1	2	2	0.0690	0.0690	0.0690	0.0690	3.8
pilot	L	kannaka-brain-7b-v1	2	3	0.0667	0.0717	0.0722	0.0773	4.9
pilot	L	kannaka-brain-7b-v1	2	4	0.0559	0.0594	0.0193	0.0208	4.9
pilot	L	kannaka-brain-7b-v1	2	5	0.0763	0.0796	0.0793	0.0841	4.9
pilot	L	kannaka-brain-7b-v1	2	6	0.0874	0.0848	0.0741	0.0642	4.1
pilot	L	kannaka-brain-7b-v1	2	7	0.0851	0.0853	0.0677	0.0596	4.8
pilot	L	kannaka-brain-7b-v1	2	8	0.0789	0.0736	0.0242	0.0181	4.4
pilot	L	kannaka-brain-7b-v1	2	9	0.0824	0.0770	0.0231	0.0197	4.0
pilot	L	kannaka-brain-7b-v1	3	0	0.0067	0.0095	0.0067	0.0095	8.0
pilot	L	kannaka-brain-7b-v1	3	1	0.0043	0.0068	0.0043	0.0068	4.4
pilot	L	kannaka-brain-7b-v1	3	2	0.0037	0.0049	0.0037	0.0049	3.4
pilot	L	kannaka-brain-7b-v1	3	3	0.0685	0.0865	0.1164	0.1366	4.3
pilot	L	kannaka-brain-7b-v1	3	4	0.0661	0.0828	0.1633	0.1538	3.0
pilot	L	kannaka-brain-7b-v1	3	5	0.0750	0.0920	0.2105	0.2188	2.5
pilot	L	kannaka-brain-7b-v1	3	6	0.0760	0.0939	0.1096	0.1013	1.4
pilot	L	kannaka-brain-7b-v1	3	7	0.0760	0.0912	0.0323	0.0175	1.1
pilot	L	kannaka-brain-7b-v1	3	8	0.0859	0.1026	0.0952	0.0588	1.4
pilot	L	kannaka-brain-7b-v1	3	9	0.0964	0.1126	0.1136	0.0909	2.6
pilot	L	kannaka-brain-7b-v1	4	0	0.0870	0.0400	0.0870	0.0400	2.7
pilot	L	kannaka-brain-7b-v1	4	1	0.0385	0.0286	0.0385	0.0286	3.8
pilot	L	kannaka-brain-7b-v1	4	2	0.3817	0.3247	0.3817	0.3247	3.9
pilot	L	kannaka-brain-7b-v1	4	3	0.3817	0.2809	0.1273	0.0986	1.6
pilot	L	kannaka-brain-7b-v1	4	4	0.2896	0.2548	0.1532	0.1453	3.1
pilot	L	kannaka-brain-7b-v1	4	5	0.2896	0.2465	0.0448	0.0492	0.9
pilot	L	kannaka-brain-7b-v1	4	6	0.2896	0.2345	0.0517	0.0625	1.0
pilot	L	kannaka-brain-7b-v1	4	7	0.2880	0.2246	0.0000	0.0000	1.0
pilot	L	kannaka-brain-7b-v1	4	8	0.2935	0.2093	0.0000	0.0000	1.4
pilot	L	kannaka-brain-7b-v1	4	9	0.2935	0.2093	0.0000	0.0000	0.7
pilot	B	qwen2.5:7b	0	0	0.0000	0.0000	0.0000	0.0000	5.9
pilot	B	qwen2.5:7b	0	1	0.0000	0.0000	0.0000	0.0000	2.1
pilot	B	qwen2.5:7b	0	2	0.0000	0.0000	0.0000	0.0000	2.2
pilot	B	qwen2.5:7b	0	3	0.0235	0.0204	0.0333	0.0308	1.7
pilot	B	qwen2.5:7b	0	4	0.0230	0.0200	0.0238	0.0244	0.9
pilot	B	qwen2.5:7b	0	5	0.0225	0.0192	0.0000	0.0000	0.9
pilot	B	qwen2.5:7b	0	6	0.0306	0.0275	0.0000	0.0000	1.2
pilot	B	qwen2.5:7b	0	7	0.0396	0.0354	0.0714	0.0769	0.9
pilot	B	qwen2.5:7b	0	8	0.0381	0.0345	0.0625	0.0833	1.0
pilot	B	qwen2.5:7b	0	9	0.0467	0.0420	0.2222	0.2000	1.0
pilot	B	qwen2.5:7b	1	0	0.0000	0.0000	0.0000	0.0000	2.8
pilot	B	qwen2.5:7b	1	1	0.4154	0.3803	0.4154	0.3803	2.5
pilot	B	qwen2.5:7b	1	2	0.5250	0.4884	0.5250	0.4884	1.8
pilot	B	qwen2.5:7b	1	3	0.5250	0.4884	0.8936	0.9130	1.8
pilot	B	qwen2.5:7b	1	4	0.5250	0.4884	1.0000	1.0000	1.8
pilot	B	qwen2.5:7b	1	5	0.5250	0.4884	1.0000	1.0000	1.8
pilot	B	qwen2.5:7b	1	6	0.5250	0.4884	1.0000	1.0000	1.8
pilot	B	qwen2.5:7b	1	7	0.5250	0.4884	1.0000	1.0000	1.8
pilot	B	qwen2.5:7b	1	8	0.5250	0.4884	1.0000	1.0000	1.8
