run	arm	model	prompt	turn	share_ab_all	share_ba_all	share_ab_last3	share_ba_last3	secs
reading1	L	kannaka-brain-7b-v1	0	0	0.0000	0.0000	0.0000	0.0000	6.4
reading1	L	kannaka-brain-7b-v1	0	1	0.0130	0.0294	0.0130	0.0294	1.5
reading1	L	kannaka-brain-7b-v1	0	2	0.0114	0.0294	0.0114	0.0294	1.0
reading1	L	kannaka-brain-7b-v1	0	3	0.0109	0.0286	0.0000	0.0000	0.9
reading1	L	kannaka-brain-7b-v1	0	4	0.0100	0.0286	0.0000	0.0000	0.9
reading1	L	kannaka-brain-7b-v1	0	5	0.0075	0.0263	0.0000	0.0000	1.8
reading1	L	kannaka-brain-7b-v1	0	6	0.0511	0.1228	0.1000	0.2273	1.3
reading1	L	kannaka-brain-7b-v1	0	7	0.0577	0.1385	0.0984	0.1935	1.6
reading1	L	kannaka-brain-7b-v1	0	8	0.0566	0.1304	0.0400	0.0312	0.9
reading1	L	kannaka-brain-7b-v1	0	9	0.0545	0.1304	0.0357	0.0625	0.8
reading1	L	kannaka-brain-7b-v1	0	10	0.0497	0.1250	0.0000	0.0000	1.2
reading1	L	kannaka-brain-7b-v1	0	11	0.0415	0.1111	0.0000	0.0000	2.0
reading1	L	kannaka-brain-7b-v1	0	12	0.0517	0.1237	0.0441	0.1071	1.6
reading1	L	kannaka-brain-7b-v1	0	13	0.0517	0.1043	0.0577	0.0698	1.2
reading1	L	kannaka-brain-7b-v1	0	14	0.0500	0.1000	0.1250	0.0769	1.1
reading1	L	kannaka-brain-7b-v1	0	15	0.0488	0.0945	0.0000	0.0000	1.1
reading1	L	kannaka-brain-7b-v1	0	16	0.0519	0.1029	0.0000	0.0000	1.8
reading1	L	kannaka-brain-7b-v1	0	17	0.0493	0.1029	0.0000	0.0000	1.1
reading1	L	kannaka-brain-7b-v1	0	18	0.0491	0.0915	0.0000	0.0000	1.2
reading1	L	kannaka-brain-7b-v1	0	19	0.0491	0.0915	0.0000	0.0000	0.6
reading1	L	kannaka-brain-7b-v1	1	0	0.0000	0.0000	0.0000	0.0000	3.5
reading1	L	kannaka-brain-7b-v1	1	1	0.0609	0.0609	0.0609	0.0609	4.2
reading1	L	kannaka-brain-7b-v1	1	2	0.0537	0.0479	0.0537	0.0479	3.0
reading1	L	kannaka-brain-7b-v1	1	3	0.0481	0.0503	0.0066	0.0090	2.2
reading1	L	kannaka-brain-7b-v1	1	4	0.1169	0.1189	0.0976	0.1071	3.2
reading1	L	kannaka-brain-7b-v1	1	5	0.1062	0.1278	0.0441	0.1000	2.3
reading1	L	kannaka-brain-7b-v1	1	6	0.1030	0.1360	0.0385	0.1000	1.5
reading1	L	kannaka-brain-7b-v1	1	7	0.1006	0.1360	0.0000	0.0000	0.9
reading1	L	kannaka-brain-7b-v1	1	8	0.0957	0.1330	0.0000	0.0000	1.3
reading1	L	kannaka-brain-7b-v1	1	9	0.0939	0.1330	0.0000	0.0000	0.8
reading1	L	kannaka-brain-7b-v1	1	10	0.1074	0.1518	0.0000	0.0000	2.7
reading1	L	kannaka-brain-7b-v1	1	11	0.1003	0.1512	0.0000	0.0000	1.5
reading1	L	kannaka-brain-7b-v1	1	12	0.1042	0.1822	0.0000	0.0000	2.5
reading1	L	kannaka-brain-7b-v1	1	13	0.0989	0.1822	0.0000	0.0000	1.4
reading1	L	kannaka-brain-7b-v1	1	14	0.0947	0.1860	0.0000	0.0000	2.0
reading1	L	kannaka-brain-7b-v1	1	15	0.0942	0.1894	0.0000	0.0000	2.9
reading1	L	kannaka-brain-7b-v1	1	16	0.0924	0.1866	0.0000	0.0000	2.0
reading1	L	kannaka-brain-7b-v1	1	17	0.0924	0.1866	0.0000	0.0000	1.4
reading1	L	kannaka-brain-7b-v1	1	18	0.0924	0.1866	0.0000	0.0000	2.3
reading1	L	kannaka-brain-7b-v1	1	19	0.0924	0.1866	0.0000	0.0000	2.0
reading1	L	kannaka-brain-7b-v1	2	0	0.0390	0.0484	0.0390	0.0484	4.7
